threshold,precision,recall,f1,m1_false_merge_rate,tp,fp,fn
0.8500000000000001,1.0,0.55793724759242,0.7162512462612164,0.0,3592,0,2846
0.9500000000000001,1.0,0.55793724759242,0.7162512462612164,0.0,3592,0,2846
0.8,1.0,0.55793724759242,0.7162512462612164,0.0,3592,0,2846
0.7000000000000001,1.0,0.55793724759242,0.7162512462612164,0.0,3592,0,2846
0.7500000000000001,1.0,0.55793724759242,0.7162512462612164,0.0,3592,0,2846
0.6500000000000001,1.0,0.55793724759242,0.7162512462612164,0.0,3592,0,2846
0.9000000000000001,1.0,0.55793724759242,0.7162512462612164,0.0,3592,0,2846
0.6000000000000001,1.0,0.5574712643678161,0.7158671586715868,0.0,3589,0,2849
0.55,1.0,0.5538987263125195,0.7129148340663735,0.0,3566,0,2872
0.5,1.0,0.5448897173035104,0.7054092097325558,0.0,3508,0,2930
